ds,y,,
1990-01-01,"7,383,125,328",,
1991-01-01,"7,529,556,846",,
1992-01-01,"7,799,436,036",,
1993-01-01,"7,857,305,132",,
1994-01-01,"8,734,296,806",,
1995-01-01,"9,475,741,608",,
1996-01-01,"8,624,916,010",,
1997-01-01,"9,129,539,278",,
1998-01-01,"10,162,768,358",,
1999-01-01,"10,643,968,552",,
2000-01-01,"11,382,961,262",,
2001-01-01,"11,664,610,746",,
2002-01-01,"12,252,124,782",,
2003-01-01,"11,232,270,636",,
2004-01-01,"11,349,159,161",,
2005-01-01,"12,072,739,226",,
2006-01-01,"12,923,229,611",,
2007-01-01,"14,178,684,628",,
2008-01-01,"13,791,685,998",,
2009-01-01,"14,242,137,678",,
2010-01-01,"15,360,369,456",,
2011-01-01,"15,767,742,460",,
2012-01-01,"18,969,419,512",,
2013-01-01,"17,192,602,240",,
2014-01-01,"17,088,782,695",,
2015-01-01,"20,033,151,082",,
2016-01-01,"20,340,219,406",,
2017-01-01,"19,015,519,868",,
2018-01-01,"21,662,010,796",,
